incident_id,disaster_type,incident_type,people_affected,people_trapped,injured_people,missing_people,children_affected,elderly_affected,water_level_m,flooded_area_percent,road_status,house_damage,evacuation_route_available,power_available,communication_available,medical_required,medical_severity,ambulance_required,latitude,longitude,nearest_hospital_km,nearest_shelter_km,nearest_rescue_team_km,population_density,priority
UKD-001171,Landslide,Trapped People,28,21,2,4,10,1,0.48,13.07,Blocked,Severe,1,0,0,1,Moderate,0,30.341813,78.589371,21.79,3.57,6.87,140,P1
UKD-004746,Cloudburst,Trapped People,47,34,0,3,12,3,3.18,58.16,Partially Blocked,Moderate,0,0,0,1,Low,1,28.957659,79.566358,1.24,4.18,0.83,2773,P3
UKD-002119,Cloudburst,Evacuation Request,20,7,1,1,3,1,0.95,20.31,Blocked,None,1,1,1,1,Low,0,29.857656,78.120104,4.26,2.56,4.3,1240,P2
UKD-003019,Flood,Trapped People,36,31,1,3,7,10,2.43,49.73,Blocked,Minor,0,1,0,0,None,0,29.428207,79.42968,7.63,19.68,10.81,652,P2
UKD-001195,Flood,Flooded Road,77,24,3,2,11,4,4.95,67.64,Blocked,Moderate,0,1,1,1,Critical,1,29.555729,79.752767,5.29,4.13,10.89,920,P1
UKD-002246,Flood,Missing Person,58,22,0,6,10,1,2.13,33.14,Partially Blocked,Minor,0,1,0,0,None,0,30.370654,78.203422,9.22,2.6,13.38,1218,P2
UKD-002874,Cloudburst,Missing Person,92,32,0,7,17,11,2.08,44.17,Partially Blocked,Minor,1,1,1,0,None,0,30.414851,79.365538,8.17,6.87,10.28,599,P2
UKD-005640,Cloudburst,Infrastructure Damage,100,47,3,0,6,5,2.08,45.15,Partially Blocked,None,0,0,1,1,Moderate,1,30.090298,78.794503,5.61,1.96,6.31,959,P3
UKD-002550,Earthquake,Infrastructure Damage,113,43,0,2,6,3,0.1,2.29,Blocked,Moderate,1,0,1,0,None,0,28.897141,79.554439,4.57,8.18,3.78,1699,P2
UKD-003155,Flood,Flooded Road,76,16,4,5,15,6,3.91,76.83,Partially Blocked,Minor,0,1,0,1,Moderate,1,29.026393,79.58331,2.12,3.1,1.27,596,P2
UKD-000094,Landslide,Trapped People,97,77,3,5,6,1,0.93,14.09,Blocked,Severe,0,0,1,1,Moderate,1,30.340855,78.0159,5.37,1.28,1.43,6251,P1
UKD-002078,Flood,Flooded Road,70,15,0,2,4,4,2.53,55.93,Partially Blocked,None,0,1,0,1,Low,1,29.836892,78.236585,1.8,2.47,2.1,3879,P2
UKD-000470,Cloudburst,Damaged House,36,13,2,3,8,5,2.84,36.55,Partially Blocked,Moderate,0,1,1,1,Moderate,0,30.25807,78.055534,2.91,1.69,5.21,2622,P1
UKD-000788,Landslide,Infrastructure Damage,200,66,5,3,6,8,1.04,22.76,Blocked,Severe,0,0,1,1,Moderate,1,29.561188,79.747525,3.8,13.97,5.54,2175,P1
UKD-001700,Earthquake,Damaged House,200,41,2,1,11,5,0.13,2.58,Partially Blocked,Severe,0,0,1,1,Critical,1,29.393153,79.486733,3.07,6.57,2.79,610,P1
UKD-001838,Flood,Trapped People,92,74,4,3,14,4,4.07,74.36,Blocked,Severe,0,0,0,1,Moderate,1,30.811225,78.456083,30.0,5.77,3.61,698,P1
UKD-003064,Earthquake,Injured Person,34,8,6,1,11,4,0.07,1.77,Partially Blocked,Severe,1,1,1,1,Moderate,1,29.372746,79.433393,5.48,12.57,10.17,445,P2
UKD-001707,Flood,Flooded Road,22,7,0,0,7,2,2.44,76.56,Blocked,Minor,0,0,1,1,Low,1,30.447509,77.900966,4.36,0.85,2.58,3372,P1
UKD-003968,Cloudburst,Missing Person,11,1,0,2,4,1,1.29,30.07,Open,None,0,1,1,0,None,0,29.904616,78.179386,10.37,3.34,1.67,918,P2
UKD-003863,Earthquake,Infrastructure Damage,32,5,0,1,8,2,0.05,1.35,Partially Blocked,Minor,1,1,1,0,None,0,29.375557,79.45439,15.95,8.95,14.66,967,P2
UKD-003665,Flood,Waterlogging,13,0,0,0,1,1,1.43,42.49,Open,Minor,1,1,0,0,None,0,29.986384,78.153089,1.07,0.62,1.18,3069,P2
UKD-005892,Earthquake,Damaged House,23,1,0,0,5,2,0.07,1.04,Open,Moderate,1,1,1,1,Moderate,0,30.137541,78.93557,5.89,8.41,13.08,305,P3
UKD-003205,Landslide,Damaged House,24,3,3,2,12,4,0.25,5.11,Partially Blocked,Severe,1,0,1,1,Low,0,30.571243,78.701902,18.91,6.27,6.91,829,P2
UKD-000605,Cloudburst,Evacuation Request,167,75,3,1,7,9,3.0,60.32,Blocked,Severe,0,0,1,1,Critical,1,29.94817,78.020728,17.84,2.7,4.76,3916,P1
UKD-004943,Landslide,Trapped People,53,19,0,1,8,1,0.52,11.56,Partially Blocked,Moderate,1,0,0,0,None,0,29.520095,80.235392,8.17,12.82,18.03,210,P3
UKD-001551,Flood,Infrastructure Damage,152,71,4,4,12,1,3.58,66.45,Blocked,Severe,0,0,0,1,Critical,1,28.942412,79.472716,8.63,1.34,11.55,1918,P1
UKD-004709,Cloudburst,Flooded Road,8,0,0,0,0,1,1.53,22.18,Blocked,None,1,0,0,0,None,0,30.327563,78.817103,12.4,5.64,9.46,67,P3
UKD-004835,Cloudburst,Damaged House,16,2,0,1,0,3,0.78,14.54,Partially Blocked,None,1,1,1,0,None,0,30.450234,78.319792,16.62,7.25,6.03,238,P3
UKD-003186,Cloudburst,Evacuation Request,72,43,2,2,13,1,2.84,39.33,Blocked,Moderate,0,0,1,1,Low,0,29.414541,79.383844,6.54,5.55,7.04,347,P2
UKD-004387,Flood,Trapped People,22,9,2,1,3,3,1.82,38.42,Open,Moderate,0,0,1,1,Low,0,29.944185,78.171425,3.01,4.57,2.15,3320,P3
UKD-001587,Cloudburst,Flooded Road,93,29,1,0,9,6,3.95,84.29,Blocked,Moderate,0,0,1,1,Critical,1,29.121015,79.501675,5.08,2.83,4.13,1673,P1
UKD-003120,Cloudburst,Damaged House,50,16,1,3,15,2,1.89,27.91,Open,Moderate,0,0,1,1,Low,1,30.333178,78.042044,3.31,3.47,3.8,819,P2
UKD-003400,Earthquake,Infrastructure Damage,34,11,1,3,7,3,0.1,1.81,Partially Blocked,Moderate,1,1,1,1,Low,0,29.94476,78.167683,5.45,0.2,1.4,548,P2
UKD-000402,Landslide,Trapped People,67,35,2,0,5,2,0.84,14.92,Partially Blocked,Moderate,1,1,1,1,Critical,1,30.954571,78.479987,7.68,8.65,15.07,347,P1
UKD-000032,Landslide,Infrastructure Damage,79,16,3,2,8,6,0.48,14.52,Partially Blocked,Minor,1,0,1,0,None,0,30.353177,78.08321,0.64,0.61,10.33,1237,P1
UKD-001484,Cloudburst,Damaged House,72,59,3,3,13,4,3.33,78.34,Blocked,Severe,0,1,1,1,Critical,1,30.332735,79.138926,4.0,5.05,6.55,241,P1
UKD-002681,Earthquake,Infrastructure Damage,55,26,2,0,9,9,0.11,1.67,Partially Blocked,Minor,0,1,1,1,Moderate,1,29.261048,79.577963,13.03,5.98,19.29,937,P2
UKD-000600,Earthquake,Damaged House,33,19,1,2,10,2,0.18,3.24,Blocked,Minor,0,0,0,0,None,0,30.023073,78.036,6.68,2.12,24.39,1422,P1
UKD-003150,Landslide,Trapped People,91,40,5,2,11,15,0.48,13.32,Partially Blocked,Severe,1,0,0,1,Moderate,0,29.521806,80.176797,27.43,3.03,8.24,347,P2
UKD-005545,Flood,Evacuation Request,8,1,0,1,2,1,0.9,14.8,Open,Minor,1,1,1,1,Moderate,1,30.086717,78.24138,0.5,6.78,1.15,2363,P3
UKD-001861,Cloudburst,Damaged House,156,56,1,2,3,8,2.64,86.06,Partially Blocked,Minor,0,0,0,0,None,0,29.84152,79.727618,9.32,1.97,17.72,358,P1
UKD-000566,Landslide,Injured Person,61,35,9,0,5,0,0.92,15.08,Blocked,Moderate,1,0,0,1,Critical,1,30.168255,78.772014,6.61,4.66,7.69,599,P1
UKD-002214,Flood,Flooded Road,150,30,5,1,7,4,3.77,62.94,Blocked,Moderate,0,0,1,0,None,0,30.091697,78.832603,12.6,7.36,25.85,959,P2
UKD-001967,Cloudburst,Trapped People,14,11,1,2,1,3,1.52,28.36,Blocked,Moderate,0,1,1,0,None,0,29.393435,79.455375,8.43,2.3,6.3,626,P1
UKD-000866,Flood,Injured Person,52,23,9,1,5,10,4.63,58.1,Partially Blocked,Moderate,0,1,1,1,Critical,1,30.345986,78.015243,5.15,2.67,15.88,2678,P1
UKD-004608,Flood,Flooded Road,39,7,1,1,10,2,1.93,34.74,Partially Blocked,Minor,0,1,1,0,None,0,30.250329,77.926362,2.19,1.92,3.89,4053,P3
UKD-002451,Cloudburst,Evacuation Request,20,5,0,1,4,4,2.31,34.03,Blocked,Minor,1,0,0,0,None,0,30.239798,78.838119,17.59,2.16,8.66,596,P2
UKD-005693,Landslide,Missing Person,7,2,0,1,0,0,0.26,4.78,Partially Blocked,None,0,1,1,0,None,0,30.37595,79.148306,9.13,6.71,8.13,171,P3
UKD-000813,Earthquake,Trapped People,83,44,8,1,14,7,0.09,1.28,Open,Severe,0,0,0,0,None,0,30.254767,79.188331,4.58,18.35,2.68,438,P1
